               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.016259,            0.012976,           0.0013605,             0.99943,                   1,               0.995,             0.87536,            0.013242,           0.0063893,          0.00068451,           0.0041094,           0.0041094,           0.0041094
                  62,            0.015548,            0.012825,           0.0011332,              0.9994,                   1,               0.995,             0.87407,            0.013932,           0.0069602,          0.00081408,           0.0039757,           0.0039757,           0.0039757
                  63,            0.015827,            0.012135,           0.0011168,             0.99911,                   1,               0.995,             0.86023,             0.01366,           0.0075709,          0.00070801,           0.0038434,           0.0038434,           0.0038434
                  64,            0.014925,            0.012134,           0.0014544,             0.99903,                   1,               0.995,             0.87451,            0.013996,           0.0067128,          0.00055139,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015788,            0.012241,           0.0013946,             0.99901,                   1,               0.995,             0.87873,             0.01372,           0.0067945,          0.00052409,            0.003584,            0.003584,            0.003584
                  66,            0.015484,            0.012253,          0.00097512,             0.99893,                   1,               0.995,             0.86571,            0.014157,           0.0068722,          0.00060675,            0.003457,            0.003457,            0.003457
                  67,             0.01511,            0.012469,          0.00085716,             0.99926,                   1,               0.995,              0.8699,            0.016049,           0.0072575,           0.0005749,           0.0033321,           0.0033321,           0.0033321
                  68,            0.015267,            0.012432,          0.00085243,             0.99916,                   1,               0.995,             0.86168,            0.014877,           0.0071405,          0.00057812,           0.0032093,           0.0032093,           0.0032093
                  69,            0.014195,             0.01155,           0.0010558,             0.99891,                   1,               0.995,             0.88076,            0.013959,           0.0071276,          0.00061189,           0.0030888,           0.0030888,           0.0030888
                  70,            0.014381,            0.011716,            0.001503,              0.9987,                   1,               0.995,               0.861,             0.01356,           0.0071907,          0.00074232,           0.0029706,           0.0029706,           0.0029706
                  71,            0.014476,            0.012163,           0.0012032,             0.99854,                   1,               0.995,             0.87064,            0.014471,           0.0068606,          0.00083701,            0.002855,            0.002855,            0.002855
                  72,            0.013743,            0.011044,           0.0016713,             0.99789,                   1,               0.995,             0.85966,            0.014051,           0.0067339,           0.0013911,           0.0027419,           0.0027419,           0.0027419
                  73,            0.014122,             0.01171,          0.00090349,             0.99933,                   1,               0.995,             0.85697,            0.013692,           0.0067857,          0.00061598,           0.0026316,           0.0026316,           0.0026316
                  74,            0.013804,            0.011559,          0.00072808,             0.99958,                   1,               0.995,             0.86845,            0.015178,           0.0070441,          0.00039853,           0.0025241,           0.0025241,           0.0025241
                  75,            0.013777,            0.011672,           0.0010473,             0.99949,                   1,               0.995,             0.87785,            0.014291,           0.0069163,          0.00036425,           0.0024195,           0.0024195,           0.0024195
                  76,            0.013893,            0.012327,            0.001267,             0.99923,                   1,               0.995,             0.87986,            0.014437,           0.0072232,          0.00040738,            0.002318,            0.002318,            0.002318
                  77,            0.012941,            0.011689,           0.0010035,             0.99865,                   1,               0.995,             0.87827,            0.013453,            0.007038,          0.00058323,           0.0022196,           0.0022196,           0.0022196
                  78,             0.01301,            0.011308,          0.00087612,             0.99825,                   1,               0.995,             0.86866,              0.0139,           0.0067636,          0.00069457,           0.0021245,           0.0021245,           0.0021245
                  79,            0.013181,            0.011873,           0.0010631,             0.99873,                   1,               0.995,             0.85815,            0.014848,           0.0068753,           0.0004626,           0.0020327,           0.0020327,           0.0020327
                  80,            0.013024,            0.011757,           0.0011206,             0.99882,                   1,               0.995,              0.8632,            0.013949,           0.0065724,          0.00046144,           0.0019443,           0.0019443,           0.0019443
                  81,            0.013354,            0.011465,          0.00071858,              0.9989,             0.99995,               0.995,             0.85488,             0.01437,           0.0066399,          0.00046959,           0.0018594,           0.0018594,           0.0018594
                  82,             0.01288,            0.010957,          0.00092412,             0.99923,                   1,               0.995,             0.85527,            0.014324,           0.0068033,          0.00043416,           0.0017781,           0.0017781,           0.0017781
                  83,            0.012987,            0.012099,          0.00081644,             0.99946,                   1,               0.995,             0.86245,            0.014181,           0.0067657,          0.00035603,           0.0017005,           0.0017005,           0.0017005
                  84,            0.012878,            0.012271,          0.00064525,             0.99956,                   1,               0.995,             0.85939,              0.0139,           0.0068321,          0.00028937,           0.0016267,           0.0016267,           0.0016267
                  85,            0.012698,             0.01154,           0.0015339,             0.99959,                   1,               0.995,             0.86859,             0.01421,           0.0068838,          0.00027734,           0.0015566,           0.0015566,           0.0015566
                  86,            0.012254,            0.011277,          0.00079913,              0.9994,                   1,               0.995,             0.86873,            0.013789,           0.0069377,          0.00029987,           0.0014905,           0.0014905,           0.0014905
